Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/12/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45181Cluster=Aseer CL4,Rule Name=Opt Clusters",4215.72,11.6141,8.0616,99.2604,109.657,1.0852,0.5885,97.8618,98.6057,96.9078,0.142,0,1.0592,99.178,96.1059,98.5962,52.82,99.8959,99.8912
9/12/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45181Cluster=Najran CL1,Rule Name=Opt Clusters",4484.31,18.3179,10.7186,99.6631,100.6044,0.5361,0.2638,96.5928,96.2115,97.3445,0.1484,0,1.5654,98.6262,96.0998,98.4034,34.69,99.7207,99.6757
9/12/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45181Cluster=Najran CL2,Rule Name=Opt Clusters",877.43,8.472,4.1606,99.4899,118.5858,0.9709,0.442,92.3295,90.5209,95.8208,0.0184,0,1.5818,98.1628,97.6798,97.4229,0.64,99.1805,99.8144
9/12/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45181Cluster=Jizan CL1,Rule Name=Opt Clusters",10115.82,15.1535,9.7901,99.1886,111.3037,0.7953,0.2524,95.2426,95.1321,95.4198,0.0887,0.3706,2.5528,99.3272,97.3351,98.1729,468.76,97.8144,97.888
9/12/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45181Cluster=Jizan CL2,Rule Name=Opt Clusters",9893.67,21.0963,12.8575,99.3549,100.7615,0.66,0.4161,96.6821,96.8724,94.9594,0.4331,0.0816,1.046,97.9082,91.891,97.6819,306.25,97.4212,97.5853
9/12/2023,Aseer Province,45181Aseer Province,10734.61,38.6449,28.4873,99.2461,100.4778,0.7932,0.6089,95.9585,98.6413,96.482,0.2878,0,5.1688,97.1471,96.882,97.2983,146.91,99.0791,99.169
9/12/2023,Jazan Province,45181Jazan Province,19953.65,36.1026,22.5279,99.2672,105.3693,0.7264,0.3471,95.9673,96.0065,95.2271,0.2856,0.2187,1.7977,98.507,94.3167,97.8912,775.02,97.6162,97.7346
9/12/2023,Najran Province,45181Najran Province,5627.63,26.9773,14.9893,99.6293,104.3226,0.6284,0.2952,95.0382,94.9903,96.8375,0.1203,0,1.5585,98.6548,96.5015,98.2346,35.33,99.6132,99.7081
9/13/2023,Abha,45182Abha,862.88,3.9211,2.4179,99.6209,95.4897,0.3422,0.2595,99.0726,98.64,88.9328,0.0111,0,5.2448,96.3888,96.5118,96.5099,0.05,99.683,99.7085
9/13/2023,Khamis Mushait,45182Khamis Mushait,1572.21,5.361,3.6364,99.5679,95.3279,0.3936,0.321,98.7352,98.8217,93.9493,0.0227,0,13.6903,96.4294,97.0262,96.7073,70.29,99.5562,99.8874
