Date,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %,RRC Cong,CS Cong,PS Cong,CS Drops,PS Drops
9/12/2023,Southern Remote,45181Southern Remote,24540.12,16679.473,2128.5357,2919.2089,99.975,99.7916,99.5897,0.2712,0.4396,95.8848,3386.1158,-104.6403,23.0356,18.2974,39.8567,98.8128,95.8539,5405,823731,29099,0,0,823731,1791346,3.1251,3.7641,4.0673,5633,7092,2311270,98.2123,9333,290,4278,2695,63052
9/12/2023,Southern City,45181Southern City,28495.66,7585.1418,1218.0417,1770.1934,99.9942,99.9379,99.854,0.1123,0.1645,83.0612,3269.5219,-102.8403,22.7261,18.0851,39.513,98.9761,83.0612,83,1023440,19685,0,0,1023440,623001,3.1338,3.7634,4.1121,5307,6932,261414,99.7723,0,0,0,1180,24859
9/12/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45181Cluster=Aseer CL1,Rule Name=Opt Clusters",4372.76,1411.6772,221.5754,424.1799,99.9903,99.9277,99.7751,0.1835,0.2808,96.501,3182.9546,-103.4275,23.0584,17.6711,37.8828,98.9455,96.4379,109,135057,4932,0,0,135057,222955,3.1535,3.7838,4.1078,5230,6843,160135,99.6023,0,0,0,279,8683
9/12/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45181Cluster=Aseer CL2,Rule Name=Opt Clusters",8241.82,2360.0818,379.5782,623.4532,99.9928,99.9324,99.8115,0.2307,0.3143,95.7383,3203.6667,-99.8414,23.0316,17.8107,38.595,97.974,95.5459,133,266326,7786,0,0,266326,309618,3.1332,3.7502,4.0957,5347,6909,81408,99.1855,0,0,0,662,13903
9/12/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45181Cluster=Aseer CL3,Rule Name=Opt Clusters",3012.36,5242.066,594.8706,632.7251,99.9866,99.8672,99.5278,0.3289,0.3067,96.3492,4414.3893,-105.1938,24.1652,19.0578,39.6072,99.0874,96.3237,278,80821,3830,0,0,80821,338269,3.1329,3.778,4.0587,5358,6907,846553,98.172,4,0,0,314,10694
9/12/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45181Cluster=Jizan CL1,Rule Name=Opt Clusters",12856.45,4106.8294,628.6094,853.5039,99.9931,99.8144,99.6409,0.1668,0.3856,95.4906,3018.0135,-104.235,22.2631,17.9613,40.0243,99.0972,95.4575,2616,464306,10161,0,0,464306,434931,3.1218,3.7656,4.0908,5638,7076,629490,97.7688,1523,14,829,883,16828
9/12/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45181Cluster=Jizan CL2,Rule Name=Opt Clusters",13089.59,4415.0534,617.0038,943.8169,99.9666,99.6052,99.4556,0.1758,0.4083,95.1851,2768.0807,-104.6621,22.0833,18.0315,40.5948,99.1232,95.16,1839,508593,10538,0,0,508593,427903,3.118,3.7595,4.0839,5520,7090,766728,97.7703,7806,276,3449,966,18422
9/12/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45181Cluster=Aseer CL4,Rule Name=Opt Clusters",3556.99,3440.7984,443.6856,625.4533,99.9891,99.9612,99.8427,0.329,0.2904,97.6485,3611.6688,-105.3616,23.4621,18.3621,39.7819,99.1258,97.6384,227,92157,5040,0,0,92157,533033,3.1487,3.7749,4.0595,5445,7019,66898,99.8165,0,0,0,377,10236
9/12/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45181Cluster=Najran CL1,Rule Name=Opt Clusters",7460.7,3000.0018,419.8215,541.0448,99.9885,99.9148,99.915,0.1236,0.1509,97.5938,3341.3844,-104.78,22.9164,18.2723,40.1072,98.4768,97.5842,244,282272,5901,0,0,282272,130114,3.1328,3.7604,4.1119,5261,6997,21472,99.9296,0,0,0,368,8330
9/12/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45181Cluster=Najran CL2,Rule Name=Opt Clusters",445.11,288.1069,41.4329,45.2253,100,99.9572,99.8699,0.133,0.1189,97.8439,3972.8045,-104.8791,23.5037,18.5945,38.8141,98.8095,97.8439,42,17639,596,0,0,17639,17524,3.1382,3.7667,4.1166,5374,6882,0,100,0,0,0,26,815
