Date,Time,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %
2023-11-14,03:00,Jazan Province,1,288.06,320.14,43.4655,1045.8633,100,99.9049,99.776,0.1418,0.1744,92.8125,4277.0548,-105.405,23.1657,19.3485,39.3738,99.5455,92.8125,23,5475,186,0,0,5475,19637,3.1474,3.8236,4.0797,5173,6404,3027,99.5539
2023-11-14,03:00,Najran Province,1,44.18,84.0622,9.8526,298.1739,100,99.9808,99.9036,0,0.034,90.3226,4652.1211,-105.7193,23.9228,19.7692,38.7127,98.2143,90.3226,3,1104,28,0,0,1104,2673,3.1852,3.7969,4.1152,4702,6457,0,100
2023-11-14,04:00,Southern Region,1,378.83,669.0806,92.1551,2404.615,100,99.9084,99.8143,0.1538,0.1063,98.7593,4717.5525,-104.5857,24.0416,19.0822,38.3705,98.7589,98.7593,5,9076,195,0,0,9076,53531,3.1503,3.8051,4.0879,5369,6492,54045,99.0535
2023-11-14,04:00,USF8,1,29.81,143.3777,18.6563,687.9785,100,99.7702,99.1353,0.6494,0.1183,99.187,4862.211,-106.895,25.1399,19.3325,36.546,98.5075,99.187,1,409,9,0,0,409,2855,3.1323,3.7033,4.0923,4751,7586,36000,98.993
2023-11-14,04:00,Southern Remote,1,160.63,454.1272,57.9,1529.9046,100,99.9217,99.7628,0.1855,0.1582,98.75,4878.3856,-105.4786,24.1879,19.0329,38.5666,99.2629,98.75,5,3310,105,0,0,3310,40480,3.1428,3.8039,4.0723,5502,6561,32445,99.1801
2023-11-14,04:00,Southern City,1,216.29,212.5494,33.9411,865.9006,100,99.8804,99.8735,0.1317,0.0551,,4406.5694,-103.3521,23.7845,19.1557,38.1607,97.4194,,0,5754,90,0,0,5754,12307,3.1557,3.8062,4.1009,5303,6447,21600,98.8713
2023-11-14,04:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,25.71,29.6261,3.6829,189.9163,100,100,99.8644,0.2433,0.0965,,3908.055,-103.8279,23.77,18.9831,36.7798,100,,0,450,14,0,0,450,4315,3.1659,3.8185,4.1056,4685,6988,32400,96.7811
2023-11-14,04:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,36.97,48.832,7.479,245.95,100,99.9827,99.9096,0.2913,0.0719,100,4736.4426,-99.9443,24.4317,18.1472,37.0208,95.3488,100,0,1061,28,0,0,1061,5151,3.1443,3.7578,4.0797,5319,6563,45,99.3776
2023-11-14,04:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,17.46,156.8141,18.5975,377.5324,100,99.783,99.5117,0.3125,0.1193,100,5729.7948,-106.0751,25.3848,19.4011,38.6593,100,100,0,328,13,0,0,328,7261,3.177,3.8053,4.0651,4396,5855,21600,98.3271
2023-11-14,04:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,103.76,141.1916,23.1073,478.4281,100,99.7735,99.7407,0.1332,0.2135,98.7013,4447.8688,-105.1833,23.4382,19.0848,38.9891,98.8235,98.7013,2,2093,46,0,0,2093,12031,3.1608,3.8182,4.0828,5731,6706,0,99.3492
2023-11-14,04:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,142.65,145.6735,18.7112,513.4446,100,99.9454,99.7768,0.1081,0.1213,98.4127,4258.0588,-105.6144,23.2616,19.259,39.3033,98.7179,98.4127,2,3705,57,0,0,3705,8393,3.1275,3.7995,4.0803,5245,6327,0,100
2023-11-14,04:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,17.11,70.37,9.0932,303.3649,100,99.9799,99.9258,0.3367,0.097,91.6667,4958.3905,-106.1657,24.5354,18.6808,38.2243,100,91.6667,1,258,11,0,0,258,12694,3.2063,3.8231,4.0902,9194,6187,0,100
2023-11-14,04:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,32,65.5665,10.2359,262.612,100,99.9666,99.8842,0.1009,0.0331,100,4556.3755,-105.6463,23.7899,19.3159,38.6332,99.1071,100,0,1092,23,0,0,1092,2325,3.1715,3.8117,4.1135,4758,6692,0,100
2023-11-14,04:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1.27,8.6028,0.9342,24.5571,100,99.9294,99.8873,0,0.027,100,5635.7677,-106.1905,24.5369,17.7154,37.7257,100,100,0,77,3,0,0,77,617,2.9997,3.6804,4.108,5290,6060,0,100
2023-11-14,04:00,Aseer Province,1,97.24,304.8955,38.7935,1115.6108,100,99.9392,99.8351,0.2917,0.0948,96.6667,5139.9551,-103.9834,24.6985,18.9412,37.7676,98.2759,96.6667,1,2097,66,0,0,2097,29419,3.167,3.7959,4.0849,5579,6464,54045,98.582
