Date,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
9/12/2023,Abu Arish,45181Abu Arish,472.941,8.6371,92.5836,3.4793,96.7435,12.5323,40.4262,11.7766,12.871,5.6602,0,64.518,63.2426,11.4312,11.4514,11.2413,99.9858,,99.8605,0.002,0.5948,10.8633,21.8081,-108.5556,2.1197,1.9064,5.7225,0.262,0.8076,100
9/12/2023,Sabya,45181Sabya,478.1303,10.7566,94.6132,4.7268,87.6228,12.9741,62.9837,13.1128,13.8216,7.2851,0,85.3396,92.7076,10.5338,10.5329,10.5428,99.9697,,99.7735,0.0024,0.2358,10.3139,22.7672,-112,2.0576,1.9146,5.6386,0.2427,1.1873,100
9/12/2023,Bishah,45181Bishah,222.3417,10.56,81.205,3.6595,67.8448,14.3514,39.1772,8.4194,12.4214,5.5001,0,64.7742,76.3772,10.6543,10.6956,10.3835,99.9646,,99.7376,0.0055,0.6259,9.1636,21.636,-109.8889,2.2512,2.1217,6.2984,0.2149,0.6669,100
9/12/2023,Remote Jizan,45181Remote Jizan,800.1815,21.132,104.8695,4.0498,86.1365,13.1051,88.7364,10.6545,13.0924,6.166,0,62.9117,65.841,11.2254,11.2763,10.6851,99.9837,,99.8831,0.0052,0.7052,10.7623,22.3245,-108.7847,2.1055,1.9284,4.8706,0.24,1.3441,100
9/12/2023,Southern Remote,45181Southern Remote,800.1815,21.132,104.8695,4.0498,86.1365,13.1051,88.7364,10.6545,13.0924,6.166,0,62.9117,65.841,11.2254,11.2763,10.6851,99.9837,,99.8831,0.0052,0.7052,10.7623,22.3245,-108.7847,2.1055,1.9284,4.8706,0.24,1.3441,100
9/12/2023,Southern Region,45181Southern Region,35264.4296,1274.9943,88.1408,3.6129,95.3092,15.4467,3472.2517,11.0681,13.3502,6.8998,2420,66.5876,92.8699,10.5167,10.5591,9.9829,99.936,99.4391,99.7587,0.0055,0.646,11.6422,22.121,-109.3258,2.1558,2.0361,5.6156,0.205,0.9052,99.726
9/12/2023,Southern City,45181Southern City,30832.6407,1122.4102,90.2534,3.791,95.3212,15.5078,3044.0205,10.708,12.9649,6.6774,2420,66.2623,94.4181,10.4255,10.4656,9.92,99.9313,99.4226,99.7494,0.0057,0.6632,11.5798,22.0977,-109.331,2.1615,2.0275,5.6076,0.2137,0.9021,99.6895
9/12/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45181Cluster=Jizan CL1,Rule Name=Opt Clusters",6421.4301,198.1664,77.8103,2.0125,83.5923,12.8121,751.3082,15.3058,19.1184,10.5076,1520,57.7599,88.0419,10.5971,10.6295,10.2382,99.9449,99.4909,99.7151,0.0054,0.8971,11.8259,21.3347,-106.8034,2.253,2.0851,6.3751,0.2688,1.4887,99.9549
9/12/2023,Aseer Province,45181Aseer Province,26021.2515,988.5584,88.9248,4.1995,98.89,16.3409,2434.1152,10.3476,12.3386,6.4201,900,71.1971,95.2604,10.4957,10.5455,9.8511,99.9293,99.4083,99.7728,0.0058,0.563,11.7373,22.3202,-109.9827,2.1317,2.0226,5.4824,0.1944,0.7865,99.6318
9/12/2023,Jazan Province,45181Jazan Province,7372.5015,217.5601,79.3562,2.0951,84.6003,12.8043,854.718,14.7948,18.0874,9.769,1520,58.8745,86.9669,10.6297,10.6589,10.3098,99.9483,99.4909,99.7241,0.0051,0.8371,11.6821,21.4731,-107.2667,2.2293,2.0479,6.2942,0.2668,1.42,99.9609
