Region,Week,eNodeB Name,Sector id,DL_PRB_Utilization,DL PRB Utilization Range,Users,DL User Thrpt
South Region,WK46_2023,S1705-RGUL-HU-01-AHR,2,90.64,Utiliz > 80%,171.53,6.56
South Region,WK46_2023,S1535-RULX-HU-01-KMS,0,90.63,Utiliz > 80%,392.79,3.43
South Region,WK46_2023,S6141-R4GF-HU-01-DYR,1,90.52,Utiliz > 80%,63.75,11.82
South Region,WK46_2023,S1696-RGUL-HU-01-SHW,2,90.49,Utiliz > 80%,216.66,9.58
South Region,WK46_2023,S1552-RGLN-HU-HW-NJR,2,90.48,Utiliz > 80%,178.55,6.34
South Region,WK46_2023,S4797-RGUF-HU-HW-NMS,1,90.37,Utiliz > 80%,20.86,8.17
South Region,WK46_2023,S3063-RGFX-HU-HW-KMS,0,90.32,Utiliz > 80%,83.92,13.59
South Region,WK46_2023,S1661-RUFX-HU-01-AHM,1,90.31,Utiliz > 80%,74.98,5.72
South Region,WK46_2023,S1676-RALL-HU-HW-MHL,2,90.27,Utiliz > 80%,182.76,6.5
South Region,WK46_2023,S6119-RGUL-HU-01-ABA,0,90.25,Utiliz > 80%,120.51,11.26
South Region,WK46_2023,S1725-RUFX-HU-01-MJR,0,90.23,Utiliz > 80%,120.94,16.73
South Region,WK46_2023,S6034-RGUF-HU-01-AHM,1,90.2,Utiliz > 80%,397.22,3.83
South Region,WK46_2023,S3042-R4GF-HU-01-MHL,2,90.09,Utiliz > 80%,58.8,7.26
South Region,WK46_2023,S1666-RULX-HU-01-GIZ,0,90.08,Utiliz > 80%,191.88,6.76
South Region,WK46_2023,S6390-RGLX-HU-HW-SHW,2,90.06,Utiliz > 80%,84.52,14.09
South Region,WK46_2023,S1619-RGUF-HU-01-MHL,1,89.95,Utiliz > 80%,84.5,9.64
South Region,WK46_2023,S6147-RGUF-HU-01-SUB,1,89.95,Utiliz > 80%,61.58,5.84
South Region,WK46_2023,S6092-RUFX-HU-01-ABA,2,89.94,Utiliz > 80%,70.63,5.95
South Region,WK46_2023,S6146-RGUF-HU-01-SUB,2,89.93,Utiliz > 80%,92.82,6.31
South Region,WK46_2023,S6046-RGUF-HU-01-SAM,0,89.9,Utiliz > 80%,219.83,8.38
South Region,WK46_2023,S6030-RGUF-HU-HW-DMD,2,89.9,Utiliz > 80%,178.82,7.47
South Region,WK46_2023,S1666-RULX-HU-01-GIZ,1,89.9,Utiliz > 80%,122.34,4.82
South Region,WK46_2023,S6047-RGUF-HU-01-AHM,2,89.85,Utiliz > 80%,210.35,10.03
South Region,WK46_2023,S6289-RALL-HU-01-NJR,0,89.67,Utiliz > 80%,138.55,4.07
South Region,WK46_2023,S6195-RGUF-HU-HW-DRB,2,89.66,Utiliz > 80%,158.7,6.27
South Region,WK46_2023,S1504-RULX-HU-01-KMS,1,89.65,Utiliz > 80%,282.12,11.2
South Region,WK46_2023,S6203-RGUF-HU-HW-DRB,2,89.61,Utiliz > 80%,104.78,6.57
South Region,WK46_2023,S6107-RGUF-HU-01-EDB,1,89.58,Utiliz > 80%,75.25,16.52
South Region,WK46_2023,S1720-RGUF-HU-01-SAM,0,89.51,Utiliz > 80%,100.29,5.27
South Region,WK46_2023,S6253-R4GF-HU-01-ABA,2,89.45,Utiliz > 80%,176.63,6.4
South Region,WK46_2023,S6348-RALL-HU-01-NJR,0,89.4,Utiliz > 80%,163.94,5.98
South Region,WK46_2023,S6336-RGUF-HU-VP-HBN,0,89.37,Utiliz > 80%,43.99,10.48
South Region,WK46_2023,S4761-RGUF-HU-HW-KMS,0,89.3,Utiliz > 80%,28.44,5.17
South Region,WK46_2023,S6071-RGUF-HU-01-GIZ,1,89.17,Utiliz > 80%,70.3,13.83
South Region,WK46_2023,S1653-RGUF-HU-01-KMS,0,89.11,Utiliz > 80%,107.23,7.92
South Region,WK46_2023,S3416-RALL-HU-HW-GIZ,0,89.11,Utiliz > 80%,236.7,5.3
South Region,WK46_2023,S6038-RLNX-HU-01-SAM,0,89.08,Utiliz > 80%,399.26,4.76
South Region,WK46_2023,S6066-RGUF-HU-01-BSH,1,89.02,Utiliz > 80%,154.15,12.3
South Region,WK46_2023,S6070-RGUF-HU-01-DRB,0,88.96,Utiliz > 80%,86.37,6.34
South Region,WK46_2023,S6330-RGUL-HU-01-NJR,0,88.96,Utiliz > 80%,261.67,5.5
South Region,WK46_2023,S6095-RALL-HU-HW-GIZ,0,88.91,Utiliz > 80%,190.95,6.02
